Run Cat env_material Organism
SRR5001852 Belle fecal gut 
SRR5001853 Harry oropharyngeal oral
SRR5001854 Belle fecal	gut
SRR5001855 Jasmine oropharyngeal oral
SRR5001856 Elsa oropharyngeal oral
SRR5001857 Ron bronchoalveolar oral
SRR5001858 Elsa bronchoalveolar oral
SRR5001859 Hermione bronchoalveolar oral
SRR5001860 Elsa bronchoalveolar oral
SRR5001861 Ron oropharyngeal oral
SRR5001862 Hermione oropharyngeal oral
SRR5001863 Elsa bronchoalveolar oral
SRR5001864 Hermione fecal gut
SRR5001866 Ron fecal gut
SRR5001867 Jasmine bronchoalveolar oral
SRR5001868 Hermione blood blood
SRR5001869 Ron blood blood
SRR5001870 Elsa fecal gut
SRR5001871 Jasmine fecal gut
SRR5001872 Harry blood blood
SRR5001873 Harry oropharyngeal oral
SRR5001874 Belle oropharyngeal oral
SRR5001875 Hermione bronchoalveolar oral
SRR5001876 Jasmine bronchoalveolar oral
SRR5001877 Jasmine bronchoalveolar oral
SRR5001878 Ron oropharyngeal oral
SRR5001879 Ron oropharyngeal oral
SRR5001880 Elsa blood blood
SRR5001881 Hermione oropharyngeal oral
SRR5001882 Elsa oropharyngeal oral
SRR5001883 Harry oropharyngeal oral
SRR5001884 Belle bronchoalveolar oral
SRR5001885 Belle oropharyngeal oral
SRR5001886 Harry bronchoalveolar oral
SRR5001887 Harry fecal gut
SRR5001888 Ron fecal gut
SRR5001889 Jasmine blood blood
SRR5001890 Ron bronchoalveolar oral
SRR5001891 Elsa oropharyngeal oral
SRR5001892 Harry bronchoalveolar oral
SRR5001893 Belle oropharyngeal oral
SRR5001894 Ron bronchoalveolar oral
SRR5001895 Harry fecal gut
SRR5001896 Elsa fecal gut
SRR5001897 Harry fecal gut
SRR5001898 Belle fecal gut
SRR5001899 Jasmine oropharyngeal oral
SRR5001900 Hermione fecal gut
SRR5001901 Hermione bronchoalveolar oral
SRR5001902 Harry bronchoalveolar oral
SRR5001903 Belle blood blood
SRR5001904 Jasmine fecal gut
SRR5001905 Hermione oropharyngeal oral
SRR5001906 Belle bronchoalveolar oral
SRR5001907 Belle bronchoalveolar oral
SRR5001908 Hermione fecal gut
SRR5001909 Jasmine oropharyngeal oral
SRR5001910 Elsa fecal gut
SRR5001911 Ron fecal gut
SRR5001912 Jasmine fecal gut
